"","countries","continent","Longitude","Latitude"
"1","AFGHANISTAN","ASIA",66.0047336558,33.8352307278
"2","ALBANIA","EUROPE",20.0498339611,41.1424498947
"3","ALGERIA","AFRICA",2.6173230092,28.1589384945
"4","ANDORRA","EUROPE",1.56054377918,42.5422910219
"5","ANGOLA","AFRICA",17.5373676815,-12.2933605438
"6","ANTIGUA","NORTH AMERICA",-61.794693427,17.2774995986
"7","ARGENTINA","SOUTH AMERICA",-65.179806925,-35.3813487953
"8","ARMENIA","ASIA",44.9299327564,40.2895256919
"9","AUSTRALIA","OCEANIA",134.491000082,-25.7328870417
"10","AUSTRIA","EUROPE",14.1264760996,47.585494392
"11","AZERBAIJAN","ASIA",47.5459987892,40.2882723471
"12","BAHAMAS","NORTH AMERICA",-76.6284303802,24.2903670223
"13","BAHRAIN","ASIA",50.5419693232,26.0420513477
"14","BANGLADESH","ASIA",90.2381274323,23.86731158
"15","BARBADOS","NORTH AMERICA",-59.5597970021,13.1814542822
"16","BELARUS","EUROPE",28.0320930703,53.5313137685
"17","BELGIUM","EUROPE",4.64065113918,50.6398157556
"18","BELIZE","NORTH AMERICA",-88.7101048564,17.2002750902
"19","BENIN","AFRICA",2.32785254449,9.64175970225
"20","BHUTAN","ASIA",90.4018815525,27.4110658858
"21","BOLIVIA","SOUTH AMERICA",-64.6853864515,-16.7081478725
"22","BOSNIA","EUROPE",17.7687673323,44.1745012472
"23","BOTSWANA","AFRICA",23.7985336773,-22.1840321328
"24","BRAZIL","SOUTH AMERICA",-53.0978311267,-10.7877770246
"25","BRUNEI","ASIA",114.722030354,4.51968957503
"26","BULGARIA","EUROPE",25.2155290863,42.7689031797
"27","BURKINA FASO","AFRICA",-1.75456600914,12.2695384574
"28","BURUNDI","AFRICA",29.8751215645,-3.35939665747
"29","CABO VERDE","AFRICA",-23.9598882026,15.9552332421
"30","CAMBODIA","ASIA",104.906943249,12.7200478567
"31","CAMEROON","AFRICA",12.7396415575,5.69109848986
"32","CANADA","NORTH AMERICA",-98.3077702819,61.3620632437
"33","CENTRAL AFRICAN REPUBLIC","AFRICA",20.4682683098,6.56823297048
"34","CHAD","AFRICA",18.6449251291,15.333337585
"35","CHILE","SOUTH AMERICA",-71.3825621318,-37.730709893
"36","CHINA","ASIA",103.81907349,36.5617654559
"37","COLOMBIA","SOUTH AMERICA",-73.0811458241,3.91383430725
